,customer_id,customer_unique_id,retained,order_purchase_timestamp,price
20,f6dd3ec061db4e3987629fe6b26e5cce,eb28e67c4c0b83846050ddfb8a35d051,True,2017-04-26 10:53:06,239.9
101,0bc91e14cb93aab1b6f6730922a31aad,c2a444c39a2d87b50039f910db917e3d,True,2018-01-08 11:28:06,59.99
156,1e248ce64cdbfc9d30332ff380eef1ab,f62d6572c9c25b3796d058d7b833f8b7,True,2017-03-20 17:52:09,89.9
179,d3ab89d9a1a9f356e6da0f519d0bf68e,213b36024bb0b8261de0ffbd652ebc34,True,2018-05-26 09:29:26,79.9
240,1ba27dd3d21d68e40a49916af05cafef,59bba92de9b8f6be0808e4d9d64b4b43,True,2017-06-24 13:43:54,89.9
388,d25c28e2e418a2f688e8e17130b29b49,9c4220872289f4e0239410f49e02e189,True,2018-05-27 03:04:57,79.9
420,7ce2416c6e9a2d16b45d4cd192984d33,78b5cbc4b9ad61445b6609593addca37,True,2017-08-18 12:01:05,89.9
426,62286d8b713dea952e1d37b8acd17016,e2889baccec81ed3bed4d66c1c675cb2,True,2017-05-23 11:05:06,89.9
448,d57b9dfc139d48fc3482411baea546ff,3f6ac9a49767899814866524054ba779,True,2017-04-07 09:45:54,89.9
449,d57b9dfc139d48fc3482411baea546ff,3f6ac9a49767899814866524054ba779,True,2017-04-07 09:45:54,89.9
450,b05d4270c1c9faa55359c25e604a669d,3f6ac9a49767899814866524054ba779,True,2017-04-07 09:45:56,73.35
451,b05d4270c1c9faa55359c25e604a669d,3f6ac9a49767899814866524054ba779,True,2017-04-07 09:45:56,73.35
457,075560cf9df80d1ad1d32ad2e972dc29,ed91e2bcbc71d72c1d7871961a01d3e3,True,2018-03-09 10:14:36,86.9
482,bbe6f69791f44733cdb39b824789340a,cb06773dbb3415543b78720a3986344e,True,2018-03-18 14:22:04,86.9
514,5a99f3ed7b721d9aa04b6f73e0abdfc7,91352e06066eef42b60b24049ccde4fd,True,2018-03-09 09:56:28,86.9
535,b434038f25087d8cb775ac6167d6d87a,eeea20d93b0e221411defcabab3c8949,True,2017-03-23 11:58:25,89.9
536,b434038f25087d8cb775ac6167d6d87a,eeea20d93b0e221411defcabab3c8949,True,2017-03-23 11:58:25,89.9
537,b434038f25087d8cb775ac6167d6d87a,eeea20d93b0e221411defcabab3c8949,True,2017-03-23 11:58:25,89.9
538,b434038f25087d8cb775ac6167d6d87a,eeea20d93b0e221411defcabab3c8949,True,2017-03-23 11:58:25,89.9
555,74d653f3908d54caef36bd9b9a3c7627,c2e9a50bcf76b5783bc96f906f95bceb,True,2017-08-01 10:21:50,89.9
560,e6b780bb93376355d570c29b58b07f3f,5416f8ad5bc33953624084ebc8738307,True,2017-11-24 20:30:47,89.9
655,f7060c3a8e6970cabb0af29d2864f4fd,88ecb91d6d5e47ebdc2129cd046b0935,True,2017-05-19 15:41:12,89.9
656,f7060c3a8e6970cabb0af29d2864f4fd,88ecb91d6d5e47ebdc2129cd046b0935,True,2017-05-19 15:41:12,89.9
657,f7060c3a8e6970cabb0af29d2864f4fd,88ecb91d6d5e47ebdc2129cd046b0935,True,2017-05-19 15:41:12,89.9
658,f7060c3a8e6970cabb0af29d2864f4fd,88ecb91d6d5e47ebdc2129cd046b0935,True,2017-05-19 15:41:12,89.9
659,f7060c3a8e6970cabb0af29d2864f4fd,88ecb91d6d5e47ebdc2129cd046b0935,True,2017-05-19 15:41:12,89.9
660,f7060c3a8e6970cabb0af29d2864f4fd,88ecb91d6d5e47ebdc2129cd046b0935,True,2017-05-19 15:41:12,89.9
